"current_location","asset_or_section","classification","proposed_target","phase_1_note"
"site head","ConsentPro runtime","shared-core","global head","Required before consent-gated services."
"site head","Google Tag Manager bootstrap","shared-core","global head","Consent-gated analytics bootstrap."
"site head","window.pageFunctions registry","shared-core","global head","Shared execution registry used by later modules."
"site head","preconnect hints","shared-core","global head","Keep only origins used by retained global assets."
"site head","Marketo Forms2 runtime","shared-feature","global or form-feature head","Shared by V1 and footer; inventory form-bearing pages before conditionalizing."
"site head","nav.css","shared-header","global head","Global Header is shared across versions."
"site head","pagination-fix.css","feature","pagination feature head","Not intrinsically V1 or V2."
"site head","Splide CSS","feature","slider feature head","Not intrinsically V1 or V2."
"site head","copyright-year script","shared-core","global head","Small shared utility."
"site head","Finsweet Social Share","feature","social-share feature","Load only where social-share attributes exist."
"site head","Finsweet Attributes","feature","declared attribute features","Broad bundle needs capability inventory."
"site head","CMS slider IX2 restore","feature","slider feature","Treat as slider behavior, not version behavior."
"site head","video-popup.js","feature","video-popup feature","Load by popup markup."
"site footer","Autopilot SDK","shared-feature","consent-gated global or form feature","Currently consent-gated."
"site footer","Splide JS","feature","slider feature loader","Load by slider markup."
"site footer","nav.js","shared-header","global footer","Global Header is shared across versions."
"site footer","logos.js","feature","logo feature loader","Load by logo component markup."
"site footer","rich-text-heading-conversion.js","feature","rich-text feature loader","Load by rich-text feature declaration."
"site footer","faq-schema-generator.js","feature","FAQ feature loader","Load by FAQ markup or registered page script."
"site footer","accordion.js","feature","accordion feature loader","Load by accordion markup."
"site footer","lazy-load.js","feature","media feature loader","Audit browser-native overlap before retaining."
"site footer","cta-inject.js","feature","CTA feature loader","Load only on pages using injection target."
"site footer","Storylane runtime","feature","consent-gated Storylane feature","Load by Storylane embed."
"site footer","iframe-popup.js","feature","iframe-popup feature loader","Retain pinned v1.0.2 until separately verified."
"site footer","pagination-fix.js","feature","pagination feature loader","Pairs with pagination CSS."
"site footer","card-load-animations-v10.js","feature","card-animation feature loader","Load by animation markup and respect reduced motion."
"site footer","pageFunctions execution","shared-core","global footer","Runs registered page functions after modules load."
"Custom Code 01","V2/Lumos foundation and global utilities","mixed-v2-shared","split between v2.css and shared.css","Do not move whole block until shared Header/Footer dependency audit."
"Custom Code 02","V1 compatibility layer","mixed-v1-shared","v1.css plus reviewed shared imports","Remove .page_code_wrap as V1 signal; keep only explicit marker scoping."
"Custom Code 02","Tabler icon webfont import","shared-candidate","shared.css or feature CSS","Confirm icon use on both versions."
"Custom Code 02","V1 forms and navigation sections","mixed-v1-feature","v1.css or shared feature modules","Form and Header behavior may cross versions."
"Custom Code 03 lines 7-61","V1 Grid System","v1","v1.css","De-duplicate with V1 grid declarations in Custom Code 02."
"Custom Code 03 after V1 grid","V2 priority site CSS","mixed-v2-shared","v2.css plus reviewed shared helpers","Contains Content Wrapper repair and V2 component rules."
"Custom Code 03","generic modal and text helpers","shared-candidate","shared.css","Prove shared markup dependencies before extraction."
"Custom Code 03","Content Wrapper alignment variants","v2","v2.css","Preserve the repaired V2 behavior."
"Custom Code 04","Marketo form and footer newsletter CSS","shared-feature","shared-forms.css","Historical embed name is misleading; behavior is not version-specific."
"Home page code","Slick CSS and JavaScript","page-feature","slider feature or Home page code","Same block also exists on Pattern Intelligence."
"Pattern Intelligence page code","Slick CSS and JavaScript","page-feature","slider feature or V2 page code","Do not classify Slick itself as V2."
"four Thank You pages","Finsweet TOC head snippet","page-feature","TOC feature","Retain only on participating pages."
"Marketplace Performance Center pages","Flowdrive footer script","page-feature","form feature","Two pages currently use it."
"Blogs and News templates","articleTOC footer script","page-feature","article TOC feature","Shared template feature."
"GEO Scorecard","registered FAQ schema script v2.0.0","page-feature","registered page script","Already page-scoped; retain."
